default,conta_corrente,prazo_emprestimo_meses,historico_credito,proposito_emprestimo,valor_emprestimo,reserva_cc,tempo_emprego_atual,taxa_comp_salario,sexo_est_civil,outros_fiadores,anos_residencia_atual,propriedade,idade,outros_planos_financiamento,tipo_residencia,n_creditos_banco,status_emprego,n_dependentes,telefone,trabalhador_estrangeiro
1,0 <= ... < 200 DM,45,1,1,4746,2,,4,1,none,2,2,25,none,own,2,unskilled - resident,1,none,yes
0,no checking account,48,1,2,6110,2,,1,1,none,3,3,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,>= 200 DM / salary assignments for at least 1 year,18,2,1,2100,2,,4,1,co-applicant,2,1,37,stores,own,1,skilled employee / official,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,10,2,7,1225,2,,2,1,none,2,4,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,9,2,1,458,2,,4,1,none,3,1,24,none,own,1,skilled employee / official,1,none,yes
0,no checking account,30,2,1,2333,4,,4,1,none,2,4,30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
0,0 <= ... < 200 DM,12,2,1,1158,4,,3,3,none,1,4,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,3,8,6204,2,,2,1,none,4,1,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes
0,< 0 DM,30,1,5,6187,3,,1,4,none,4,4,24,none,rent,2,skilled employee / official,1,none,yes
1,< 0 DM,48,1,5,6143,2,,4,2,none,4,3,58,stores,for free,2,unskilled - resident,1,none,yes
0,no checking account,11,1,4,1393,2,,4,2,none,4,4,35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
0,no checking account,36,2,1,2299,4,,4,1,none,4,4,39,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,6,2,5,1352,4,,1,2,none,2,2,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes
0,no checking account,11,1,4,7228,2,,1,1,none,4,2,39,none,own,2,unskilled - resident,1,none,yes
0,no checking account,12,2,1,2073,3,,4,2,co-applicant,2,1,28,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,24,3,3,2333,1,,4,1,none,2,2,29,bank,own,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,27,3,5,5965,2,,1,1,none,2,4,30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,12,2,1,1262,2,,3,1,none,2,4,25,none,own,1,skilled employee / official,1,none,yes
0,no checking account,18,2,5,3378,1,,2,1,none,1,2,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,36,3,4,2225,2,,4,1,none,4,3,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,6,5,4,783,1,,1,1,guarantor,2,1,26,stores,own,1,unskilled - resident,2,none,yes
1,0 <= ... < 200 DM,12,2,1,6468,1,,2,1,none,1,3,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,36,1,1,9566,2,,2,2,none,2,4,31,stores,own,2,skilled employee / official,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,18,2,4,1961,2,,3,2,none,2,4,23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,< 0 DM,36,1,3,6229,2,,4,2,co-applicant,4,3,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,9,2,6,1391,2,,2,4,none,1,1,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,15,1,1,1537,1,,4,1,guarantor,4,1,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,36,4,6,1953,2,,4,1,none,4,3,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,48,4,6,14421,2,,2,1,none,2,4,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,24,2,1,3181,2,,4,2,none,4,2,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,27,2,8,5190,1,,4,1,none,4,2,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,12,2,1,2171,2,,2,2,none,2,4,29,bank,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,2,4,1007,5,,4,4,none,1,1,22,none,own,1,skilled employee / official,1,none,yes
1,no checking account,36,2,2,1819,2,,4,1,none,4,3,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,36,2,1,2394,1,,4,2,none,4,4,25,none,own,1,skilled employee / official,1,none,yes
0,no checking account,36,2,5,8133,2,,1,2,none,2,2,30,bank,own,1,skilled employee / official,1,none,yes
0,no checking account,7,1,1,730,1,,4,1,none,2,2,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name ",yes
0,< 0 DM,8,1,9,1164,2,,3,1,none,4,3,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,42,1,6,5954,2,,2,2,none,1,1,41,bank,own,2,unskilled - resident,1,none,yes
1,< 0 DM,36,2,2,1977,1,,4,1,none,4,3,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,< 0 DM,12,1,5,1526,2,,4,1,none,4,3,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,< 0 DM,42,2,1,3965,2,,4,1,none,3,4,34,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,11,3,1,4771,2,,2,1,none,4,2,51,none,own,1,skilled employee / official,1,none,yes
0,no checking account,54,4,5,9436,1,,2,1,none,2,2,39,none,own,1,unskilled - resident,2,none,yes
0,0 <= ... < 200 DM,30,2,3,3832,2,,2,4,none,1,2,22,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,2,1,5943,1,,1,2,none,1,4,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,15,2,1,1213,4,,4,1,none,3,2,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,18,2,6,1568,3,,3,2,none,4,2,24,none,rent,1,unskilled - resident,1,none,yes
0,< 0 DM,24,2,9,1755,2,,4,2,guarantor,4,1,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
0,< 0 DM,10,2,1,2315,2,,3,1,none,4,1,52,none,own,1,unskilled - resident,1,none,yes
0,no checking account,12,1,6,1412,2,,4,2,guarantor,2,1,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,1,3,1295,2,,4,2,none,1,2,27,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,36,2,2,12612,3,,1,1,none,4,3,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,< 0 DM,18,2,4,2249,3,,4,1,none,3,4,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
1,< 0 DM,12,4,8,1108,2,,4,1,none,3,1,28,none,own,2,skilled employee / official,1,none,yes
0,no checking account,12,1,1,618,2,,4,1,none,4,1,56,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,12,1,5,1409,2,,4,1,none,3,1,54,none,own,1,skilled employee / official,1,none,yes
1,no checking account,12,1,1,797,1,,4,2,none,3,2,33,bank,own,1,unskilled - resident,2,none,yes
0,>= 200 DM / salary assignments for at least 1 year,24,1,3,3617,1,,4,1,co-applicant,4,3,20,none,rent,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,2,4,1318,5,,4,1,none,4,1,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,54,4,6,15945,2,,3,1,none,4,3,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,1,2,2012,1,,4,2,none,2,4,61,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,18,2,6,2622,3,,4,1,none,4,4,34,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,36,1,1,2337,2,,4,1,none,4,1,36,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,20,3,5,7057,1,,3,1,none,4,2,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,no checking account,24,2,4,1469,3,,4,4,none,4,1,41,none,rent,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,36,2,1,2323,2,,4,1,none,4,4,24,none,rent,1,skilled employee / official,1,none,yes
0,no checking account,6,3,1,932,2,,3,2,none,2,1,24,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,9,1,3,1919,2,,4,1,none,3,4,35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,2,5,2445,1,,2,4,none,4,4,26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,24,1,9,11938,2,,2,1,co-applicant,3,4,39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
1,no checking account,18,5,4,6458,2,,2,1,none,4,3,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,12,2,4,6078,2,,2,1,none,2,4,32,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,24,2,3,7721,1,,1,2,none,2,2,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",no
0,0 <= ... < 200 DM,14,2,6,1410,4,,1,4,none,2,1,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,6,3,6,1449,3,,1,3,none,2,4,31,bank,own,2,skilled employee / official,2,none,yes
0,>= 200 DM / salary assignments for at least 1 year,15,2,2,392,2,,4,2,none,4,2,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,2,4,6260,2,,3,1,none,3,1,28,none,rent,1,unskilled - resident,1,none,yes
1,no checking account,36,1,4,7855,2,,4,2,none,2,1,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,12,2,1,1680,4,,3,4,none,1,1,35,none,own,1,skilled employee / official,1,none,yes
0,no checking account,48,1,1,3578,1,,4,1,none,1,1,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,< 0 DM,42,2,1,7174,1,,4,2,none,3,4,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,< 0 DM,10,1,3,2132,1,,2,2,co-applicant,3,1,27,none,rent,2,skilled employee / official,1,none,no
1,< 0 DM,33,1,3,4281,4,,1,2,none,4,4,23,none,own,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,1,4,2366,4,,3,3,none,3,4,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,< 0 DM,21,2,1,1835,2,,3,2,none,2,1,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,24,1,5,3868,2,,4,2,none,2,4,41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,12,2,3,1768,2,,3,1,none,2,1,24,none,rent,1,unskilled - resident,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,10,1,4,781,2,,4,1,none,4,3,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,18,2,3,1924,1,,4,2,none,3,1,27,none,rent,1,skilled employee / official,1,none,yes
0,< 0 DM,12,1,4,2121,2,,4,1,none,2,2,30,none,own,2,skilled employee / official,1,none,yes
0,< 0 DM,12,2,1,701,2,,4,4,none,2,1,40,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... < 200 DM,12,2,8,639,2,,4,1,none,2,4,30,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,1,5,1860,2,,4,1,none,2,4,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,< 0 DM,12,1,4,3499,2,,3,2,co-applicant,2,1,29,none,own,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,48,2,4,8487,1,,1,2,none,2,4,24,none,own,1,skilled employee / official,1,none,yes
1,< 0 DM,36,3,2,6887,2,,4,1,none,3,2,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,15,2,3,2708,2,,2,1,none,3,2,27,bank,own,2,unskilled - resident,1,none,yes
0,no checking account,18,2,3,1984,2,,4,1,none,4,3,47,bank,for free,2,skilled employee / official,1,none,yes
0,no checking account,60,2,1,10144,3,,2,2,none,4,1,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,1,1,1240,1,,4,2,none,2,1,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,27,3,5,8613,5,,2,1,none,2,4,27,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,12,2,1,766,4,,4,1,none,3,1,66,none,own,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,15,1,1,2728,1,,4,1,guarantor,2,1,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes
0,>= 200 DM / salary assignments for at least 1 year,12,2,1,1881,2,,2,2,none,2,4,44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name ",yes
0,>= 200 DM / salary assignments for at least 1 year,6,2,4,709,5,,2,4,none,2,1,27,none,own,1,unemployed/ unskilled - non-resident,1,none,no
0,0 <= ... < 200 DM,36,2,1,4795,2,,4,2,none,1,3,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,< 0 DM,27,2,1,3416,2,,3,1,none,2,4,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,< 0 DM,18,2,3,2462,2,,2,1,none,2,4,22,none,own,1,skilled employee / official,1,none,yes
0,no checking account,21,1,3,2288,2,,4,2,none,4,2,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,48,5,6,3566,3,,4,1,none,2,4,30,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,6,1,4,860,2,,1,2,none,4,3,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,1,4,682,3,,4,2,none,3,4,51,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,36,1,3,5371,2,,3,1,guarantor,2,2,28,none,own,2,skilled employee / official,1,none,yes
0,no checking account,18,1,1,1582,5,,4,1,none,4,4,46,none,own,2,skilled employee / official,1,none,yes
0,no checking account,6,2,1,1346,3,,2,1,none,4,3,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,10,2,1,1924,2,,1,1,none,4,2,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",no
0,>= 200 DM / salary assignments for at least 1 year,36,2,1,5848,2,,4,1,none,1,4,24,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,24,1,5,7758,5,,2,2,none,4,3,29,none,rent,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,24,3,6,6967,3,,4,1,none,4,4,36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,< 0 DM,12,2,3,1282,2,,2,2,none,4,4,20,none,rent,1,skilled employee / official,1,none,yes
0,< 0 DM,9,1,8,1288,3,,3,1,guarantor,4,1,48,none,own,2,skilled employee / official,2,none,no
0,< 0 DM,12,5,10,339,2,,4,4,none,1,4,45,bank,own,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,24,2,4,3512,3,,2,1,none,3,4,38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,6,1,1,1898,1,,1,1,none,2,1,34,none,own,2,unskilled - resident,2,none,yes
0,no checking account,24,1,1,2872,3,,3,1,none,4,1,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,18,1,4,1055,2,,4,2,none,1,2,30,none,own,2,skilled employee / official,1,none,yes
0,no checking account,15,2,7,1262,4,,4,1,none,3,2,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,10,2,4,7308,2,,2,1,none,4,3,70,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,36,2,4,909,4,,4,1,none,4,2,36,none,own,1,skilled employee / official,1,none,yes
0,no checking account,6,2,3,2978,4,,1,1,none,2,4,32,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,< 0 DM,18,2,3,1131,2,,4,2,none,2,4,33,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,11,2,3,1577,5,,4,2,none,1,1,20,none,own,1,skilled employee / official,1,none,yes
0,no checking account,24,2,3,3972,2,,2,2,none,4,2,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,24,1,6,1935,2,,4,3,none,4,1,31,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,< 0 DM,15,4,4,950,2,,4,1,none,3,4,33,none,rent,2,skilled employee / official,2,none,yes
0,no checking account,12,2,3,763,2,,4,2,none,1,1,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,24,3,3,2064,2,,3,2,none,2,2,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,8,2,1,1414,2,,4,1,guarantor,2,1,33,none,own,1,skilled employee / official,1,none,no
1,< 0 DM,21,3,2,3414,2,,2,1,none,1,2,26,none,own,2,skilled employee / official,1,none,yes
1,no checking account,30,5,5,7485,1,,4,2,none,1,1,53,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,< 0 DM,12,2,3,2577,2,,2,3,none,1,4,42,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,6,1,1,338,4,,4,1,none,4,4,52,none,own,2,skilled employee / official,1,none,yes
0,no checking account,12,2,1,1963,2,,4,1,none,2,4,31,none,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,< 0 DM,21,1,4,571,2,,4,1,none,4,1,65,none,own,2,skilled employee / official,1,none,yes
1,no checking account,36,3,6,9572,2,,1,3,none,1,4,28,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,36,3,6,4455,2,,2,3,none,2,1,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,< 0 DM,21,5,4,1647,1,,4,1,none,2,2,40,none,own,2,unskilled - resident,2,none,yes
0,no checking account,24,1,3,3777,5,,4,1,none,4,1,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,18,1,4,884,2,,4,1,none,4,4,36,bank,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,15,1,1,1360,2,,4,1,none,2,2,31,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,9,5,5,5129,2,,2,2,none,4,3,74,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,16,1,4,1175,2,,2,1,none,3,4,68,none,for free,3,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes
1,< 0 DM,12,2,1,674,3,,4,4,none,1,2,20,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,18,4,3,3244,2,,1,2,none,4,4,33,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,no checking account,24,2,6,4591,5,,2,1,none,3,2,54,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,48,4,6,3844,3,,4,1,none,4,3,34,none,for free,1,unskilled - resident,2,none,yes
1,0 <= ... < 200 DM,27,2,6,3915,2,,4,1,none,2,4,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,6,2,1,2108,2,,2,4,none,2,1,29,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,45,2,1,3031,3,,4,1,guarantor,4,2,21,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,9,1,2,1501,2,,2,2,none,3,4,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,6,1,1,1382,2,,1,2,none,1,4,28,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,12,2,3,951,3,,4,2,none,4,4,27,bank,rent,4,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,24,2,5,2760,1,,4,1,none,4,3,36,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,18,3,3,4297,2,,4,3,none,3,3,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,9,1,2,936,4,,4,1,none,2,4,52,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,12,2,4,1168,2,,4,4,none,3,1,27,none,own,1,unskilled - resident,1,none,yes
0,no checking account,27,3,6,5117,2,,3,1,none,4,4,26,none,own,2,skilled employee / official,1,none,yes
1,< 0 DM,12,2,10,902,2,,4,4,none,4,2,21,none,rent,1,skilled employee / official,1,none,yes
0,no checking account,12,1,4,1495,2,,4,1,none,1,1,38,none,own,2,unskilled - resident,2,none,yes
0,< 0 DM,30,1,5,10623,2,,3,1,none,4,3,38,none,for free,3,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
0,no checking account,12,1,3,1935,2,,4,1,none,4,1,43,none,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,12,1,7,1424,2,,4,1,none,3,2,26,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,24,2,6,6568,2,,2,4,none,2,4,21,stores,own,1,unskilled - resident,1,none,yes
0,no checking account,12,2,5,1413,5,,3,1,none,2,2,55,none,own,1,skilled employee / official,1,none,no
0,no checking account,9,1,1,3074,1,,1,1,none,2,1,33,none,own,2,skilled employee / official,2,none,yes
0,no checking account,36,2,1,3835,1,,2,2,none,4,1,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
1,< 0 DM,27,4,6,5293,2,,2,1,none,4,2,50,stores,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
